"ZCTA5CE10","Observed_SpRich","ChaoEst_SpRich","RarefiedEst_SpRich","Checklists","Year","Observed_SpDiv","ChaoEst_SpDiv","RarefiedEst_SpDiv","Anxiety_Mood_Hosp","black","median_income","Area"
48025,22,22,9.17118547919497,122,2008,12.7410154323535,12.7742958488761,7.82335262923736,2.175838775,0.063640714,121230,20801169.7287286
48028,25,25.6659939455096,6.78401116630001,1,2008,7.59624100486676,7.69635681480866,4.87506288090119,4.706246891,0.000838926,56477,87105109.7470658
48032,9,10.0657894736842,8.66081871345028,1,2008,7.91598906078617,10.4438121679759,7.62502643348144,5.125413178,0.001712329,57652,97281675.2070806
48034,49,73.4887408088235,6.81096187720537,15,2008,7.43026284328651,7.5593559211136,4.38304700231173,13.92889563,0.732088205,46161,11170198.5947291
48044,22,46.0288461538462,10.5754007222092,1,2008,14.436143245833,22.7409792404875,8.93800897751297,6.321738438,0.048072605,76191,35103864.1319828
48048,81,87.7188391209529,12.0667300651771,8,2008,31.6704757806172,32.4180151265876,10.5126828195027,14.04877587,0.116389855,59900,49583722.9686944
48049,28,34.6696428571429,12.3297679506908,3,2008,21.7551891034113,27.2969945907252,11.1253455157365,7.01399081,0.00514732,57343,93322666.4242101
48059,39,43.1654195350693,3.95224759054676,10,2008,2.90074688423041,2.92029643180345,1.98777266574666,9.085005164,0.011419571,53832,100301179.525966
48060,6,6.99765258215962,2.27147700075838,4,2008,1.62300446311689,1.63606834542303,1.48822940010894,29.5414138,0.072791725,36987,61924631.5160049
48067,25,28.1160714285714,8.07136479390272,2,2008,10.6266934607697,11.0876863484601,6.51965305121839,9.489497248,0.025987148,63015,11872204.1124469
48070,13,17.1428571428571,4.62695771642099,1,2008,3.91218322225623,4.12279015330118,3.07035297064441,3.10373756,0.00891294,106117,3850722.09847164
48071,21,65.375,10.4043735110569,2,2008,14.6209545046609,20.7248442156684,9.04124970466283,11.93319707,0.06115823,46703,18344451.8527986
48094,3,3,2.98870694522868,1,2008,2.64438866940192,2.76685014756084,2.59886629975684,6.914025366,0.016135044,76545,47679193.1342019
48098,40,50.1542207792208,11.9967809080225,1,2008,24.4542871743895,29.900240986047,10.5500162899285,5.086607854,0.029170465,121122,24314603.6079176
48103,86,110.444444444444,13.2988524739885,9,2008,44.5501900776658,51.1764118977096,11.8936944139587,10.2597691,0.061208034,75247,169494339.918148
48104,110,118.165381387053,10.8176825156945,30,2008,25.2865728084677,25.5360382070108,9.0905644521363,9.319681759,0.038290197,53342,20747949.4225262
48105,85,92.5217754444577,10.6513456710716,9,2008,23.9755148892566,25.2252400014123,8.09153206256989,5.350990459,0.067725727,61316,131079325.074329
48114,60,63.1959493670886,12.7090748392837,5,2008,32.7678554984127,34.1819443483052,11.509860176414,6.532575921,0.004759519,84964,89870046.5461927
48116,30,450.5,17,1,2008,30,525.73834632651,17,8.125985635,0.004597181,78388,103811726.977224
48118,18,30.4107142857143,7.91365016998703,1,2008,9.45383722261219,10.4737523248556,6.30205637264349,15.32596401,0.003793994,71453,237681367.283728
48120,24,26.0718232044199,9.43528395112797,1,2008,13.4241025661164,14.4912718011787,7.86973761342038,10.31568506,0.108737864,39234,8389607.71125063
48126,25,28.9975031210986,5.84636454558228,3,2008,5.92887930520351,5.98444346840395,4.11702482816192,7.295828579,0.031296971,31505,25585548.0891489
48128,121,127.39971279842,13.2800214148414,129,2008,44.4442942606455,44.5746303405465,12.162202209775,3.098249794,0.023278806,79466,6247688.1277451
48130,66,102.322105263158,12.803732308646,5,2008,35.2213959952152,42.7268539911619,11.4956064635271,10.33690044,0.007318241,85617,163495430.513902
48133,2,2,1.25071866016747,1,2008,1.08436447964024,1.08899129201345,1.06018601036457,21.35933284,0.008399126,46763,85072965.054419
48134,11,15.4605263157895,3.0032603632976,2,2008,1.91158658654087,2.06030294666818,1.57276995275996,13.8716819,0.046048172,62767,47497487.5160587
48138,18,19.9842519685039,8.40202610790207,1,2008,10.5457865859463,11.4582564473037,6.97151493732622,9.699089731,0.003806261,83245,27731515.7053227
